data_date,portfolio_value,unrealized_return
2026-01-27 09:01:38.018446+00:00,5182.11,375.73
2026-01-27 09:31:30.585333+00:00,5182.83,376.45
2026-01-27 10:01:32.228750+00:00,5179.0,372.62
2026-01-27 10:31:27.706641+00:00,5182.58,376.2
2026-01-27 11:01:36.081147+00:00,5180.82,374.44
2026-01-27 11:31:32.845579+00:00,5183.38,377.0
2026-01-27 12:01:27.375796+00:00,5179.39,373.01
2026-01-27 12:31:29.945899+00:00,5169.04,362.66
2026-01-27 13:01:26.987492+00:00,5165.48,359.1
2026-01-27 13:31:28.973989+00:00,5168.49,362.11
2026-01-27 14:01:27.880038+00:00,5168.33,361.95
2026-01-27 14:31:27.406477+00:00,5157.81,351.43
2026-01-27 15:01:30.472227+00:00,5153.24,346.86
2026-01-27 15:31:27.894117+00:00,5147.74,341.36
2026-01-27 16:01:27.614673+00:00,5159.03,352.65
2026-01-27 16:31:26.923706+00:00,5156.48,350.1
2026-01-27 17:01:31.897199+00:00,5152.55,346.17
2026-01-27 17:31:27.522479+00:00,5155.09,348.71
2026-01-27 18:01:29.145351+00:00,5152.53,346.15
2026-01-27 18:31:27.350164+00:00,5152.69,346.31
2026-01-27 19:01:45.472269+00:00,5152.28,345.9
2026-01-27 19:31:34.660279+00:00,5154.09,347.71
2026-01-27 20:01:40.041516+00:00,5153.68,347.3
2026-01-27 20:31:40.126805+00:00,5152.01,345.63
2026-01-27 21:01:35.898556+00:00,5146.78,340.4
2026-01-27 22:01:41.191023+00:00,5139.48,333.1
2026-01-27 22:31:26.924829+00:00,5143.51,337.13
2026-01-27 23:01:29.892718+00:00,5144.62,338.24
2026-01-27 23:31:35.438619+00:00,5147.24,340.86
2026-01-28 00:01:43.529521+00:00,5148.99,342.61
2026-01-28 01:01:37.140823+00:00,5149.47,343.09
2026-01-28 01:31:32.749714+00:00,5152.53,346.15
2026-01-28 02:01:55.584332+00:00,5151.87,345.49
2026-01-28 02:35:24.574252+00:00,5151.98,345.6
2026-01-28 03:09:10.246431+00:00,5151.69,345.31
2026-01-28 05:52:12.873386+00:00,5152.89,346.51
2026-01-28 06:19:54.051574+00:00,5152.98,346.6
2026-01-28 08:22:00.648232+00:00,5188.75,382.37
2026-01-28 08:34:32.747126+00:00,5192.75,386.37
2026-01-28 09:01:40.561595+00:00,5188.45,382.07
2026-01-28 09:31:30.283252+00:00,5183.3,376.92
2026-01-28 10:01:39.108088+00:00,5184.79,378.41
2026-01-28 10:31:28.245164+00:00,5205.18,383.8
2026-01-28 11:01:33.518776+00:00,5203.86,382.48
2026-01-28 11:31:28.371906+00:00,5206.27,384.89
2026-01-28 12:01:31.400201+00:00,5205.7,384.32
2026-01-28 12:31:30.565585+00:00,5198.01,376.63
2026-01-28 13:01:38.157346+00:00,5201.18,378.74
2026-01-28 13:31:27.789548+00:00,5205.48,383.04
2026-01-28 14:01:28.705386+00:00,5206.99,384.55
2026-01-28 14:31:27.600763+00:00,5201.62,379.18
2026-01-28 15:01:31.453688+00:00,5203.74,381.3
2026-01-28 15:31:29.275825+00:00,5196.86,374.42
2026-01-28 16:01:28.816157+00:00,5193.95,371.51
2026-01-28 16:31:27.569204+00:00,5203.03,380.59
2026-01-28 17:01:27.636145+00:00,5197.76,375.32
2026-01-28 17:31:26.862161+00:00,5198.02,375.58
2026-01-28 18:01:36.173655+00:00,5198.06,375.62
2026-01-28 18:31:38.116792+00:00,5200.12,377.68
2026-01-28 19:01:33.436857+00:00,5202.56,380.12
2026-01-28 19:31:33.975191+00:00,5204.05,381.61
